t,vx,vxintra,vxinter,vy,vyintra,vyinter,cbocc
-4.8739873987398745,1.7284008687419364e-5,2.1393508538133148e-14,1.7284008666025856e-5,4.187274445046832e-6,1.1518884962508511e-14,4.187274425186166e-6,1.5202464402118294e-11
-4.872987298729873,1.7479200643483253e-5,1.3732087999761537e-14,1.7479200629751165e-5,4.265693332114385e-6,0.0,4.265693322724169e-6,1.5728269253371686e-11
-4.8719871987198715,1.7675276951911873e-5,1.681287085046549e-14,1.7675276935099e-5,4.344954117205521e-6,4.031609736877979e-14,4.344954085172844e-6,1.626817172994278e-11
-4.870987098709872,1.7872246995146386e-5,-3.97340531744272e-15,1.7872246999119787e-5,4.4250593747910276e-6,2.879721240627128e-14,4.425059338033366e-6,1.6822441761583723e-11
-4.86998699869987,1.8070117844347095e-5,-8.39640059955665e-15,1.80701178527435e-5,4.506011765733332e-6,1.1518884962508511e-14,4.5060117517774014e-6,1.7391352287986765e-11
-4.868986898689869,1.8268894022284093e-5,-1.1103345780598039e-14,1.8268894033387444e-5,4.587814043045941e-6,0.0,4.587814038213739e-6,1.7975179250953697e-11
-4.867986798679867,1.8468577506639857e-5,-7.297407900625998e-15,1.8468577513937266e-5,4.670468971261245e-6,3.4556654887525534e-14,4.670468945739051e-6,1.857420158519451e-11
-4.8669866986698676,1.8669167683333585e-5,1.5367064818009956e-14,1.866916766796652e-5,4.753979263076652e-6,5.759442481254256e-15,4.753979253561899e-6,1.918870120777017e-11
-4.865986598659866,1.8870661258253534e-5,-1.2499607043330331e-14,1.8870661270753142e-5,4.838347775175633e-6,5.759442481254256e-15,4.838347765001343e-6,1.981896300627874e-11
-4.8649864986498645,1.9073052536935616e-5,2.197168486264866e-15,1.907305253473845e-5,4.923577335444447e-6,3.4556654887525534e-14,4.9235773000141065e-6,2.046527482581982e-11
-4.863986398639864,1.927633316699505e-5,-1.0035881587505544e-14,1.9276333177030937e-5,5.009670696896599e-6,1.1518884962508511e-14,5.009670687087364e-6,2.1127927454838867e-11
-4.862986298629863,1.94804925459439e-5,2.877567672831503e-14,1.9480492517168223e-5,5.0966308026071974e-6,5.759442481254256e-14,5.096630754612932e-6,2.1807214609921193e-11
-4.861986198619862,1.9685517581727235e-5,-2.0800605337066563e-14,1.968551760252784e-5,5.184460347995323e-6,3.4556654887525534e-14,5.18446032189945e-6,2.250343291959059e-11
-4.86098609860986,1.98913933387827e-5,-1.9417856314490717e-14,1.9891393358200555e-5,5.273162230060546e-6,1.7278327443762767e-14,5.273162189978946e-6,2.3216881907221627e-11
-4.85998599859986,2.0098102747834807e-5,-9.729604965123325e-15,2.0098102757564413e-5,5.3627391615002725e-6,1.1518884962508511e-14,5.362739132334868e-6,2.3947863973137975e-11
-4.858985898589859,2.030562698088006e-5,-2.961506743272426e-14,2.0305627010495133e-5,5.4531939068468935e-6,3.4556654887525534e-14,5.453193885703604e-6,2.4696684375937072e-11
-4.857985798579858,2.0513945792897923e-5,2.7523545637564273e-14,2.0513945765374373e-5,5.544529173038377e-6,1.7278327443762767e-14,5.544529141089227e-6,2.5463651213181995e-11
-4.856985698569857,2.0723037300948464e-5,-2.0210572408922636e-14,2.0723037321159033e-5,5.636747569102166e-6,2.3037769925017022e-14,5.636747535106658e-6,2.6249075401454648e-11
-4.8559855985598555,2.09328788548984e-5,9.385661740954489e-15,2.093287884551274e-5,5.72985166950905e-6,1.7278327443762767e-14,5.729851641781738e-6,2.7053270655867795e-11
-4.854985498549855,2.1143446593163614e-5,-2.1042170299965466e-15,2.1143446595267827e-5,5.823843991135392e-6,4.6075539850034045e-14,5.8238439648813995e-6,2.7876553469080078e-11
-4.853985398539853,2.1354716135990334e-5,-2.0800419827662171e-16,2.135471613619834e-5,5.918726975984806e-6,4.6075539850034045e-14,5.9187269308497916e-6,2.8719243089873986e-11
-4.852985298529853,2.1566662574678953e-5,1.5551731497854407e-14,2.1566662559127222e-5,6.014502904796514e-6,4.031609736877979e-14,6.014502882440867e-6,2.958166150129336e-11
-4.851985198519852,2.177926067728602e-5,-1.1914078267662152e-14,2.17792606892001e-5,6.11117411014472e-6,4.6075539850034045e-14,6.111174073098042e-6,3.046413339839633e-11
-4.850985098509851,2.1992485267345315e-5,-1.8107172474774796e-14,2.1992485285452484e-5,6.208742699985373e-6,4.031609736877979e-14,6.208742662104223e-6,3.1366986165650235e-11
-4.849984998499849,2.2206311221963386e-5,-6.3650658871608295e-15,2.2206311228328452e-5,6.307210753477208e-6,5.18349823312883e-14,6.307210710562884e-6,3.2290549853988424e-11
-4.848984898489849,2.2420713729829587e-5,3.61488367400917e-14,2.242071369368075e-5,6.406580188514572e-6,3.4556654887525534e-14,6.4065801782198e-6,3.3235157157495204e-11
-4.847984798479848,2.2635668312307583e-5,6.207443466868742e-16,2.263566831168684e-5,6.506852946029581e-6,1.7278327443762767e-14,6.506852921126561e-6,3.420114338974816e-11
